01 accordion,手风琴
02 acousticguitar,木吉他
03 acoustic,原声
04 action,动作
05 adult,成人
06 advertising,广告
07 africa,非洲
08 african,非洲风
09 alabama,阿拉巴马
10 alarmclock,闹钟
11 alaska,阿拉斯加
12 alcohol,酒精
13 alternative,另类
14 ambient,氛围
15 america,美国
16 american,美式
17 americana,美式民谣
18 animals,动物
19 anthem,圣歌
20 anti-folk,反民谣
21 anthems,颂歌
22 arizona,亚利桑那
23 art,艺术
24 asian,亚洲
25 atmosphere,氛围
26 atlanta,亚特兰大
27 atmospheric,氛围化
28 audience,观众
29 australia,澳大利亚
30 australian,澳洲
31 autumn,秋天
32 avantgarde,先锋
33 background,背景
34 banjo,班卓琴
35 baroque,巴洛克
36 battle,战斗
37 beat,节拍
38 beats,鼓点
39 beautiful,优美
40 bed,床
41 bedroom,卧室
42 beer,啤酒
43 birds,鸟鸣
44 birth,出生
45 birthday,生日
46 blues,布鲁斯
47 bossa,波萨
48 bossa nova,巴莎诺瓦
49 bounce,弹跳
50 breakbeat,碎拍
51 breaks,断拍
52 british,英式
53 broken beat,碎拍
54 cabaret,歌舞秀
55 cajun,卡郡
56 california,加州
57 calm,平静
58 canada,加拿大
59 canadian,加国
60 car,汽车
61 carnival,狂欢节
62 cello,大提琴
63 caribbean,加勒比
64 celtic,凯尔特
65 chanson,香颂
66 chicago,芝加哥
67 children,儿童
68 chill,轻松
69 china,中国
70 chinese,中文
71 choral,合唱
72 christ,基督
73 christian,基督教
74 christmas,圣诞
75 church,教堂
76 classic rock,经典摇滚
77 classical,古典
78 club,夜店
79 cocktail,鸡尾酒
80 comedy,喜剧
81 commercial,商业
82 complex,复杂
83 confused,迷离
84 country,乡村
85 cover,翻唱
86 cuban,古巴
87 dance,舞曲
88 dancehall,舞厅
89 dark,黑暗
90 death,死亡
91 deathmetal,死亡金属
92 deep,深邃
93 deep house,深浩室
94 delta,三角洲
95 demo,演示
96 desert,沙漠
97 dirty,肮脏
98 disco,迪斯科
99 downtempo,低速
100 drama,剧情
101 drone,嗡鸣
102 drum and bass,鼓打贝斯
103 dub,杜步
104 dubstep,杜步
105 eastcoast,东海岸
106 eclectic,折衷
107 electro,电音
108 electroclash,电击
109 electronic,电子
110 electronica,电子乐
111 electropop,电子流行
112 electrohouse,电子浩室
113 electroswing,电子摇摆
114 emo,情绪核
115 energy,能量
116 epic,史诗
117 ethereal,空灵
118 europe,欧洲
119 european,欧式
120 exciting,激昂
121 experimental,实验
122 extreme,极端
123 fado,fado
124 family,家庭
125 fashion,时尚
126 female,女性
127 female vocalists,女歌手
128 female vocals,女声
129 fieldrecording,现场录音
130 film,电影
131 florida,佛罗里达
132 focus,专注
133 folk,民谣
134 folklore,民俗
135 french,法式
136 funk,放克
137 fusion,融合
138 future,未来
139 game,游戏
140 gangsta,帮派
141 garage,车库摇滚
142 gay,彩虹
143 german,德语
144 germany,德国
145 ghetto,贫民区
146 glitch,爆裂
147 gospel,福音
148 goth,哥特
149 gothic,哥特风
150 groove,律动
151 grunge,垃圾摇滚
152 guitar,吉他
153 gym,健身
154 haiti,海地
155 happy,快乐
156 hard,硬派
157 hardcore,硬核
